eventname,ANIMAGIC2025
de,en
Charakter aus Anime 2024 oder 2025,Charakter from Anime in 2024 or 2025
Anime mit Plot Twist,Anime with a plot twist
Ikemen,Ikemen
Bijin,Bijin
Charakter nur im Manga,Manga inclusive character
Anime mit mehr als 100 Episoden,Anime with more 100 episodes
Cosplay von einem zukünftigen Anime,Cosplay from upcoming anime
Anime dessen Studio gewechselt hat,Anime that changed studios
Non Default Kostüm,Non default skin cosplay
Kouhai und Senpai in Szene,Kouhai and senpai posing
Anime der ein Remake hat,Anime with a remake
Kyotoani Charakter,Kyoto Ani character
Studio Bones Anime,Studio Bones Anime
Tsundere Charakter,Tsundere character
Charakter der das Genre gebrochen hat,Character who broke the genre
Charakter mit ikonischen Catchphrase,Character with an iconic Catchphrase
Charakter mit geringer Screentime im Anime aber voll wichtig ist,Character with little screentime in the anime but is fully important
Genshin Archon,Genshin Archon
Anime dessen Ende niemand verstanden hat,Anime with an ending no one understood
Charakter mit 2 verschiedenen Augenfarben,Character with 2 different eye colors
Character von einem Handyspiel (no mainstream),Character from a mobile game (no mainstream)
Dein Lieblingscharakter,Your favorite character
Anime mit mindestens einen Film,Anime with at least one movie
Charakter der in Memes benutzt wird,Character which is used in a meme
Charakter der an einem Turnier Arc teilnimmt,Character who participates in a tournament arc
